campaing_id,campaing_code,valid_from,valid_to,loyalty_card,description
201,70161000000RCYj,01-12-2014,31-12-2014,0,PROSPECCION DICIEMBRE 2014
202,70161000000RCYk,01-02-2015,28-02-2015,0,FEBRERO 2015
203,70161000000RCYl,01-03-2015,31-03-2015,0,HOJA MEMORIA 2014
204,70161000000RCYm,02-25-2015,31-03-2015,0,CAMPAÑA DE UTILES
205,70161000000RCYn,01-04-2015,30-04-2015,0,CARTA DE MISIONEROS 2015
206,70161000000RCYo,01-05-2015,31-05-2015,0,HOJA INFORMATIVA OTOÑO 2015
207,70161000000RCYp,01-06-2015,30-06-2015,0,EDUCACION AÑO 2015
208,70161000000RCYq,01-07-2015,31-07-2015,0,HOJA INFORMATIVA INVIERNO 2015
209,70161000000RCYr,01-08-2015,31-08-2015,0,CHICOS DE LA CALLE 2015
210,70161000000RCYs,01-08-2015,30-09-2015,0,BASE HOJA DE PRIMAVERA 2015
211,70161000000RCYt,01-09-2015,30-09-2015,0,PROSPECCION SEPTIEMBRE 2015
212,70161000000RCYu,01-10-2015,31-10-2015,0,PUEBLOS ORIGINARIOS 2015
213,70161000000RCYv,01-11-2015,30-11-2015,0,HOJA INFORMATIVA VERANO 2015
214,70161000000RCYw,01-11-2015,30-11-2015,0,PROSPECCION NOVIEMBRE 2015
215,70161000000RCYx,01-12-2015,31-12-2015,0,NAVIDAD 2015
216,70161000000RCYy,01-12-2015,31-12-2015,0,PROSPECCION DICIEMBRE 2015
217,70161000000RCYz,10-12-2015,31-12-2015,0,TARJETA NAVIDAD 2015 SOCIOS
218,70161000000RCZ0,01-02-2016,02-01-2016,0,FEBRERO 2016
219,70161000000RCZ1,01-03-2016,03-01-2016,0,HOJA MEMORIA 2016
220,70161000000RCZ2,01-04-2016,30-04-2016,0,EDUCACION 2016
221,70161000000RCZ3,01-05-2016,31-05-2016,0,HOJA INFORMATIVA OTOÑO 2016
222,70161000000RCZ4,01-06-2016,30-06-2016,0,CARTA CHICOS DE LA CALLE 2016
223,70161000000RCZ5,01-07-2016,31-07-2016,0,HOJA INFORMATIVA INVIERNO 2016
